cod_ibge,ente,capital,regiao,uf,esfera,exercicio,populacao,cnpj
1718659,Rio da Conceição,0  ,NO,TO,M,2021,2171,33262536000134
1718709,Rio dos Bois,0  ,NO,TO,M,2021,2856,37420932000101
1718758,Rio Sono,0  ,NO,TO,M,2021,6488,00000729000168
1718808,Sampaio,0  ,NO,TO,M,2021,4794,25086828000135
1718840,Sandolândia,0  ,NO,TO,M,2021,3373,37344355000108
1718865,Santa Fé do Araguaia,0  ,NO,TO,M,2021,7595,25063918000100
1718881,Santa Maria do Tocantins,0  ,NO,TO,M,2021,3486,37421039000192
1718899,Santa Rita do Tocantins,0  ,NO,TO,M,2021,2386,01613127000149
1718907,Santa Rosa do Tocantins,0  ,NO,TO,M,2021,4846,24851503000139
1719004,Santa Tereza do Tocantins,0  ,NO,TO,M,2021,2897,25086844000128
1720002,Santa Terezinha do Tocantins,0  ,NO,TO,M,2021,2530,01634030000112
1720101,São Bento do Tocantins,0  ,NO,TO,M,2021,5391,25063983000136
1720150,São Félix do Tocantins,0  ,NO,TO,M,2021,1598,26753145000157
1720200,São Miguel do Tocantins,0  ,NO,TO,M,2021,12294,25064007000106
1720259,São Salvador do Tocantins,0  ,NO,TO,M,2021,3094,37344371000109
1720309,São Sebastião do Tocantins,0  ,NO,TO,M,2021,4852,00766733000131
1720499,São Valério,0  ,NO,TO,M,2021,3904,25043449000168
1720655,Silvanópolis,0  ,NO,TO,M,2021,5428,00114819000180
1720804,Sítio Novo do Tocantins,0  ,NO,TO,M,2021,8997,00766717000149
1720853,Sucupira,0  ,NO,TO,M,2021,1986,37344439000141
1720903,Taguatinga,0  ,NO,TO,M,2021,16825,02306900000197
1720937,Taipas do Tocantins,0  ,NO,TO,M,2021,2166,33261694000170
1720978,Talismã,0  ,NO,TO,M,2021,2812,01612820000105
1721000,Palmas,1  ,NO,TO,M,2021,306296,24851511000185
1721109,Tocantínia,0  ,NO,TO,M,2021,7617,02070712000102
1721208,Tocantinópolis,0  ,NO,TO,M,2021,22845,01224716000135
1721257,Tupirama,0  ,NO,TO,M,2021,1922,01613619000134
1721307,Tupiratins,0  ,NO,TO,M,2021,2729,37420692000137
1722081,Wanderlândia,0  ,NO,TO,M,2021,11734,00001636000158
1722107,Xambioá,0  ,NO,TO,M,2021,11520,02087211000139
2100055,Açailândia,0  ,NE,MA,M,2021,113121,07000268000172
2100105,Afonso Cunha,0  ,NE,MA,M,2021,6578,06096655000191
2100154,Água Doce do Maranhão,0  ,NE,MA,M,2021,12652,01612339000101
2100204,Alcântara,0  ,NE,MA,M,2021,22112,06000244000150
2100303,Aldeias Altas,0  ,NE,MA,M,2021,26757,06096853000155
2100402,Altamira do Maranhão,0  ,NE,MA,M,2021,8189,06021323000148
2100436,Alto Alegre do Maranhão,0  ,NE,MA,M,2021,27858,01612326000132
